sn & class & ra & dec & z_sn & z_host & distance & distance_err & ebv & mass & mass_plus_er & mass_minus_er & sfr & sfr_plus_er & sfr_minus_er & ssfr & ssfr_plus_er & ssfr_minus_er
13co                 & IIP     & 21:40:38.74 & +06:30:36.87 & 0.023    & 0.0234   & 100.2  & 7.0   & 0.052 & 9.85  & 0.05 & 0.05 & 0.800  & 0.224 & 0.193 & -9.96  & 0.14 & 0.10 
13dn                 & II      & 12:52:58.20 & +32:25:09.30 & 0.023    & 0.0228   & 105.6  & 7.4   & 0.014 & 9.01  & 0.04 & 0.04 & 1.791  & 0.021 & 1.086 & -8.69  & 0.01 & 0.46 
14at                 & II      & 17:55:05.43 & +18:15:26.45 & 0.010    & 0.0104   & 52.0   & 3.6   & 0.073 & 8.05  & 0.90 & 0.35 & 0.002  & 0.033 & 0.001 & -10.65 & 0.19 & 1.29 
14az                 & IIb     & 23:44:48.00 & -02:07:03.17 & 0.007    & 0.0067   & 29.3   & 2.1   & 0.028 & 8.00  & 0.01 & 0.01 & 0.012  & 0.002 & 0.001 & -9.90  & 0.07 & 0.01 
14bf                 & IIP     & 13:58:12.75 & +17:31:53.66 & 0.022    & 0.0225   & 105.4  & 7.4   & 0.026 & 9.97  & 0.02 & 0.01 & 0.198  & 0.001 & 0.096 & -10.70 & 0.01 & 0.24 
14bu                 & II      & 11:18:41.03 & +25:09:59.88 & 0.025    & 0.0255   & 115.9  & 8.1   & 0.014 & 8.59  & 0.05 & 0.12 & 0.141  & 0.126 & 0.025 & -9.46  & 0.38 & 0.12 
14de                 & Ic      & 10:40:39.33 & +39:03:52.70 & 0.029    & 0.0293   & 130.7  & 9.2   & 0.015 & 10.44 & 0.01 & 0.11 & 0.019  & 0.001 & 0.005 & -12.20 & 0.02 & 0.07 
14di                 & II      & 02:01:46.39 & +26:32:41.96 & 0.017    & 0.0167   & 69.6   & 4.9   & 0.064 & 10.09 & 0.03 & 0.08 & 0.780  & 0.857 & 0.080 & -10.17 & 0.27 & 0.04 
14dl                 & II      & 12:21:51.38 & -24:09:54.00 & 0.014    & 0.0139   & 65.2   & 4.6   & 0.068 & 10.91 & 0.01 & 0.04 & 3.589  & 0.058 & 0.323 & -10.30 & 0.01 & 0.04 
14dq                 & II      & 21:57:59.97 & +24:16:08.10 & 0.010    & 0.0104   & 46.9   & 3.3   & 0.062 & 8.01  & 0.07 & 0.23 & 0.344  & 0.291 & 0.046 & -8.46  & 0.46 & 0.13 
14fj                 & II      & 14:40:39.50 & +38:37:58.55 & 0.013    & 0.0125   & 61.8   & 4.3   & 0.014 & 9.72  & 0.12 & 0.02 & 0.897  & 0.008 & 0.352 & -9.81  & 0.01 & 0.32 
14gm                 & II      & 00:59:47.83 & -07:34:19.30 & 0.005    & 0.0055   & 23.2   & 1.6   & 0.099 & 9.47  & 0.11 & 0.02 & 0.443  & 0.171 & 0.039 & -9.80  & 0.01 & 0.01 
14il                 & IIn     & 00:45:32.55 & -14:15:34.60 & 0.022    & 0.0220   & 92.3   & 6.5   & 0.020 & 9.62  & 0.06 & 0.04 & 0.622  & 0.231 & 0.187 & -9.90  & 0.25 & 0.11 
14jb                 & IIP     & 22:23:16.12 & -28:58:30.78 & 0.006    & 0.0060   & 27.3   & 1.9   & 0.017 & 8.46  & 0.11 & 0.01 & 0.251  & 0.006 & 0.138 & -9.11  & 0.01 & 0.45 
14jh                 & II      & 08:40:44.27 & +57:15:04.91 & 0.018    & 0.0175   & 78.4   & 5.5   & 0.055 & 8.92  & 0.05 & 0.04 & 0.807  & 0.161 & 0.214 & -9.06  & 0.08 & 0.05 
14kg                 & II      & 01:44:38.38 & +35:48:20.45 & 0.014    & 0.0145   & 60.8   & 4.3   & 0.041 & 9.79  & 0.04 & 0.02 & 0.089  & 0.052 & 0.001 & -10.90 & 0.24 & 0.01 
14ma                 & IIP     & 23:55:09.13 & +10:12:54.21 & 0.014    & 0.0137   & 59.3   & 4.7   & 0.091 & 8.57  & 0.04 & 0.03 & 0.001  & 0.001 & 0.001 & -12.16 & 0.38 & 0.11 
14ms                 & Ibn     & 13:04:08.69 & +52:18:46.50 & 0.054    & 0.0540   & 241.0  & 19.3  & 0.010 & 7.58  & 0.22 & 0.32 & 0.030  & 0.015 & 0.012 & -9.12  & 0.55 & 0.47 
15bd                 & IIb     & 15:54:38.33 & +16:36:38.06 & 0.008    & 0.0078   & 42.1   & 2.9   & 0.030 & 7.73  & 0.03 & 0.06 & 0.019  & 0.004 & 0.005 & -9.56  & 0.07 & 0.08 
15ed                 & Ibn     & 16:48:25.16 & +50:59:30.72 & 0.049    & 0.04866  & 216.4  & 17.3  & 0.022 & 11.02 & 0.01 & 0.01 & 1.259  & 0.003 & 0.001 & -10.90 & 0.01 & 0.01 
15fi                 & II      & 16:31:48.80 & +20:24:38.50 & 0.017    & 0.0172   & 82.1   & 5.8   & 0.050 & 9.12  & 0.01 & 0.17 & 0.341  & 0.121 & 0.091 & -9.60  & 0.20 & 0.01 
15fz                 & II      & 13:35:25.14 & +01:24:33.00 & 0.017    & 0.0175   & 84.4   & 5.9   & 0.022 & 10.48 & 0.01 & 0.05 & 9.311  & 0.261 & 1.368 & -9.53  & 0.02 & 0.05 
15ik                 & IIn     & 11:02:04.75 & +03:30:02.66 & 0.035    & 0.0346   & 152.2  & 12.2  & 0.048 & 8.48  & 0.01 & 0.04 & 0.081  & 0.003 & 0.007 & -9.60  & 0.01 & 0.01 
