Object  sigma_tie	sigma_SN	sigma_gal	r_50	r_80	log(Sigma_SFR)	ProjectedOffset	NormalizedOffset	LightFraction	
PS1-12bqf	13.1	16.1	4.3	2.87	4.69	-1.4	4.34	1.5	0.12	
PS1-11ap	23.5	4.9	2.1	0.85	1.45	-1.2	0.98	1.2	0.65	
PS1-10bzj	31.4	33.9	1.5	0.58	1.01	-1.0	0.51	0.9	0.51	
PS1-11bdn	14.6	18.7	5.9	1.25	2.26	-1.3	1.36	1.1	0.58	
PS1-10awh	9.8	16.1	9.7	0.88	2.03	-1.0	0.33	0.4	0.43	
PS1-11aib	cdots	12.3	cdots	<0.4	cdots	cdots	cdots	cdots	1.00	
PS1-10pm	8.1	19.9	7.7	2.57	3.92	-1.1	2.22	0.9	0.29	
PS1-11tt	13.6	16.3	5.3	1.34	2.04	-1.0	1.21	0.9	0.90	
PS1-11afv	11.8	34.8	4.7	1.49	2.25	-0.9	2.15	1.4	0.64	
PS1-11bam	8.2	21.8	2.8	1.34	2.36	-0.4	3.04	2.3	0.02	
PS1-12bmy	10.5	36.8	4.1	1.55	2.20	-0.6	2.89	1.9	0.02	
SN 2007bi	cdots	19.6	4.8	0.20	0.47	-1.0	0.17	0.8	0.67	
SN 2011ke	16.8	14.5	2.4	0.34	0.60	-1.0	0.15	0.4	0.86	
SN 2012il	36.5	26.0	3.3	0.53	0.85	-1.1	0.55	1.0	0.95	
SN 2010gx	cdots	16.3	2.7	0.41	0.76	-1.1	0.17	0.4	0.82	
SCP06F6	cdots	9.5	4.4	0.65	1.04	-1.4	0.10	0.2	0.85	
