ID|Rgc|Vt
NGC 104  |  7.3| 3.95
NGC 288  | 11.4| 8.09
NGC 362  |  9.2| 6.40
NGC 1261 | 17.9| 8.29
Pal 1    | 15.9|13.52
AM 1     |120.5|15.72
Eridanus | 85.8|14.70
Pal 2    | 34.8|13.04
NGC 1851 | 16.8| 7.14
NGC 1904 | 18.5| 7.73
NGC 2298 | 15.6| 9.29
NGC 2419 | 89.6|10.39
Pyxis    | 40.5|12.90
NGC 2808 | 10.9| 6.20
E 3      |  7.6|11.35
Pal 3    | 92.6|14.26
NGC 3201 |  8.9| 6.75
Pal 4    |102.2|14.20
NGC 4147 | 20.9|10.32
NGC 4372 |  6.9| 7.24
Rup 106  | 18.0|10.90
NGC 4590 | 10.0| 7.84
NGC 4833 |  6.9| 6.91
NGC 5024 | 18.9| 7.61
NGC 5053 | 16.8| 9.47
NGC 5139 |  6.3| 3.68
NGC 5272 | 11.9| 6.19
NGC 5286 |  8.2| 7.34
AM 4     | 24.8|15.90
NGC 5466 | 16.9| 9.04
NGC 5634 | 21.3| 9.47
NGC 5694 | 28.3|10.17
IC 4499  | 15.4| 9.76
NGC 5824 | 25.1| 9.09
Pal 5    | 18.0|11.75
NGC 5897 |  7.6| 8.53
NGC 5904 |  6.1| 5.65
NGC 5927 |  4.5| 8.01
NGC 5946 |  7.1| 9.61
BH 176   |  9.4|14.00
NGC 5986 |  4.7| 7.52
Lynga 7  |  4.2|
Pal 14   | 67.3|14.74
NGC 6093 |  3.1| 7.33
NGC 6121 |  6.0| 5.63
NGC 6101 | 11.0| 9.16
NGC 6144 |  3.4| 9.01
NGC 6139 |  3.9| 8.99
Terzan 3 | 18.9|12.00
NGC 6171 |  3.3| 7.93
1636-283 |  2.0|12.00
NGC 6205 |  8.3| 5.78
NGC 6229 | 28.7| 9.39
NGC 6218 |  4.6| 6.70
NGC 6235 |  2.7| 9.97
NGC 6254 |  4.6| 6.60
NGC 6256 |  2.3|11.29
Pal 15   | 36.9|14.00
NGC 6266 |  1.8| 6.45
NGC 6273 |  1.5| 6.77
NGC 6284 |  6.6| 8.83
NGC 6287 |  1.6| 9.35
NGC 6293 |  1.5| 8.22
NGC 6304 |  2.2| 8.22
NGC 6316 |  3.7| 8.43
NGC 6341 |  9.5| 6.44
NGC 6325 |  1.9|10.33
NGC 6333 |  1.7| 7.72
NGC 6342 |  1.9| 9.66
NGC 6356 |  7.0| 8.25
NGC 6355 |  1.2| 9.14
NGC 6352 |  3.3| 7.96
IC 1257  | 17.3|13.10
Terzan 2 |  1.6|14.29
NGC 6366 |  4.9| 9.20
Terzan 4 |  1.1|16.00
HP 1     |  0.9|11.59
NGC 6362 |  5.1| 7.73
Liller 1 |  2.6|16.77
NGC 6380 |     |11.31
Terzan 1 |  1.5|15.90
Ton 2    |  1.4|12.24
NGC 6388 |  4.4| 6.72
NGC 6402 |  3.8| 7.59
NGC 6401 |  0.9| 9.45
NGC 6397 |  6.0| 5.73
Pal 6    |  1.4|11.55
NGC 6426 | 13.8|11.01
Djorg 1  |  1.4|13.60
Terzan 5 |  0.6|13.85
NGC 6440 |  1.2| 9.20
NGC 6441 |  2.1| 7.15
Terzan 6 |  0.6|13.85
NGC 6453 |  3.1|10.08
UKS 1    |  0.8|17.29
NGC 6496 |  4.4| 8.54
Terzan 9 |  0.6|16.00
Djorg 2  |  5.8| 9.90
NGC 6517 |  4.1|10.23
Terzan 10|  0.8|14.90
NGC 6522 |  1.1| 8.27
NGC 6535 |  3.9|10.47
NGC 6528 |  0.8| 9.60
NGC 6539 |  3.0| 9.33
NGC 6540 |  4.5| 9.30
NGC 6544 |  5.5| 7.77
NGC 6541 |  2.1| 6.30
NGC 6553 |  3.3| 8.06
NGC 6558 |  1.8| 9.26
IC 1276  |  3.6|10.34
Terzan 12|     |15.63
NGC 6569 |  1.1| 8.55
NGC 6584 |  6.5| 8.27
NGC 6624 |  1.2| 7.87
NGC 6626 |  2.5| 6.79
NGC 6638 |  1.5| 9.02
NGC 6637 |  1.5| 7.64
NGC 6642 |  1.6| 9.13
NGC 6652 |  2.2| 8.62
NGC 6656 |  5.0| 5.10
Pal 8    |  5.2|11.02
NGC 6681 |  2.0| 7.87
NGC 6712 |  3.5| 8.10
NGC 6715 | 18.6| 7.60
NGC 6717 |  2.4| 9.28
NGC 6723 |  2.6| 7.01
NGC 6749 |  4.9|12.44
NGC 6752 |  5.3| 5.40
NGC 6760 |  4.8| 8.88
NGC 6779 |  9.5| 8.27
Terzan 7 | 15.8|12.00
Pal 10   |  6.4|13.22
Arp 2    | 20.4|12.30
NGC 6809 |  3.9| 6.32
Terzan 8 | 18.5|12.40
Pal 11   |  7.6| 9.80
NGC 6838 |  6.7| 8.19
NGC 6864 | 12.4| 8.52
NGC 6934 | 12.4| 8.83
NGC 6981 | 12.7| 9.27
NGC 7006 | 38.0|10.56
NGC 7078 | 10.3| 6.20
NGC 7089 | 10.3| 6.47
NGC 7099 |  7.0| 7.19
Pal 12   | 15.5|11.99
Pal 13   | 27.2|13.80
NGC 7492 | 24.3|11.29
