Title: The Palomar Transient Factory Core-Collapse Supernova Host-Galaxy 
       Sample.I. Host-Galaxy Distribution Functions and Environment 
       Dependence of CCSNe 
Authors: Schulze S., Yaron O., Sollerman J., Leloudas G., Gal A., Wright A.H., 
         Lunnan R., Gal-Yam A., Ofek E.O., Perley D.A., Filippenko A.V.,
         Kasliwal M.M., Kulkarni S.R., Neill J.D., Nugent P.E., Quimby R.M.,
         Sullivan M., Strothjohann N.L., Arcavi I., Ben-Ami S., Bianco F., 
         Bloom J.S., De K., Fraser M., Fremling C.U., Horesh A., Johansson J.,
         Kelly P.L., Knevzevic N., Knevzevic S., Maguire K., Nyholm A., 
         Papadogiannakis S., Petrushevska T., Rubin A., Yan L., Yang Y.,
         Adams S.M., Bufano F., Clubb K.I., Foley R.J., Green Y., Harmanen J.,
         Ho A.Y.Q., Hook I.M., Hosseinzadeh G., Howell D.A., Kong A.K.H., 
         Kotak R., Matheson T., McCully C., Milisavljevic D., Pan Y.-C., 
         Poznanski D., Shivvers I., Velzen S.v., Verbeek K.K. 
Table: Photometry of the PTF CCSN host galaxies
================================================================================
Byte-by-byte Description of file: apjsabff5et9_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label    Explanations
--------------------------------------------------------------------------------
   1-  9 A9     ---     ID       Object identifier
  11- 19 A9     ---     Tel/Sur  Telescope/Survey designation
  21- 29 A9     ---     Inst     Instrument 
  31- 35 A5     ---     Filter   Filter
  37- 41 F5.2   mag     mag      Observed AB magnitude in Filter (1)
  43- 48 F6.2   mag   e_mag      ?=-99 Uncertainty in mag
  50- 76 A27    ---     Ref      Reference; This paper or ADS bibcode
--------------------------------------------------------------------------------
Note (1): Not corrected for reddening.
--------------------------------------------------------------------------------
PTF09as   GALEX               FUV   23.39   0.14 This paper                  
PTF09as   GALEX               NUV   23.11   0.17 This paper                  
PTF09as   SDSS                u     23.01   0.08 This paper                  
PTF09as   SDSS                g     22.35   0.11 This paper                  
PTF09as   SDSS                r     21.73   0.1  This paper                  
PTF09as   SDSS                i     21.71   0.15 This paper                  
PTF09as   SDSS                z     21.2    0.36 This paper                  
PTF09as   2MASS               H     20.19 -99.0  This paper                  
PTF09as   2MASS               Ks    20.25 -99.0  This paper                  
PTF09atu  VLT       FORS2     g     27.04   0.3  [2018MNRAS.473.1258S] 
PTF09atu  VLT       FORS2     z     25.69   0.46 [2018MNRAS.473.1258S] 
PTF09atu  VLT       FORS2     R     26.2    0.24 [2018MNRAS.473.1258S] 
PTF09atu  VLT       FORS2     I     26.05   0.4  [2018MNRAS.473.1258S] 
PTF09atu  VLT       HAWK-I    J     26.61   1.12 [2018MNRAS.473.1258S] 
PTF09atu  VLT       HAWK-I    Ks    24.79 -99.0  [2018MNRAS.473.1258S] 
PTF09atu  HST       WFC3      F390W 25.47 -99.0  [2016ApJ...830...13P]      
PTF09awk  GALEX               FUV   20.24   0.26 This paper                  
PTF09awk  GALEX               NUV   20.03   0.1  This paper                  
PTF09awk  SDSS                u     19.2    0.06 This paper                  
PTF09awk  SDSS                g     18.16   0.05 This paper                  
PTF09awk  SDSS                r     17.8    0.05 This paper                  
PTF09awk  SDSS                i     17.51   0.05 This paper                  
PTF09awk  SDSS                z     17.43   0.06 This paper                  
PTF09awk  PANSTARRS           g     18.15   0.05 This paper                  
PTF09awk  PANSTARRS           r     17.86   0.05 This paper                  
PTF09awk  PANSTARRS           i     17.52   0.05 This paper                  
PTF09awk  PANSTARRS           z     17.48   0.05 This paper                  
PTF09awk  PANSTARRS           y     17.41   0.06 This paper                  
PTF09awk  2MASS               J     17.09   0.11 This paper                  
PTF09awk  2MASS               H     17.21   0.09 This paper                  
PTF09awk  2MASS               Ks    17.48   0.13 This paper                  
PTF09axi  SDSS                u     20.17   0.14 This paper                  
PTF09axi  SDSS                g     18.77   0.06 This paper                  
PTF09axi  SDSS                r     18.47   0.06 This paper                  
PTF09axi  SDSS                i     18.21   0.06 This paper                  
PTF09axi  SDSS                z     18.16   0.11 This paper                  
PTF09axi  PANSTARRS           g     18.88   0.07 This paper                  
PTF09axi  PANSTARRS           r     18.52   0.07 This paper                  
PTF09axi  PANSTARRS           i     18.29   0.06 This paper                  
PTF09axi  PANSTARRS           z     18.26   0.1  This paper                  
PTF09axi  PANSTARRS           y     18.29   0.2  This paper                  
PTF09bcl  PANSTARRS           g     16.01   0.46 This paper                  
PTF09bcl  PANSTARRS           r     15.27   0.41 This paper                  
PTF09bcl  PANSTARRS           i     14.83   0.4  This paper                  
PTF09bcl  PANSTARRS           z     14.6    0.23 This paper                  
PTF09bcl  PANSTARRS           y     14.36   0.24 This paper                  
PTF09bcl  2MASS               J     13.98   0.07 This paper                  
PTF09bcl  2MASS               H     13.81   0.07 This paper                  
PTF09bcl  2MASS               Ks    13.88   0.11 This paper                  
PTF09bcl  WISE                W1    14.5    0.1  This paper                  
PTF09bcl  WISE                W2    15.05   0.1  This paper                  
PTF09be   LS                  g     24.14   0.16 This paper                  
PTF09be   LS                  r     24.04   0.19 This paper                  
PTF09be   LS                  z     23.78   0.23 This paper                  
PTF09bgf  GALEX               FUV   19.76   0.29 This paper                  
PTF09bgf  GALEX               NUV   19.74   0.11 This paper                  
PTF09bgf  SDSS                u     19.08   0.15 This paper                  
PTF09bgf  SDSS                g     18.24   0.07 This paper                  
PTF09bgf  SDSS                r     18.01   0.06 This paper                  
PTF09bgf  SDSS                i     17.83   0.08 This paper                  
PTF09bgf  SDSS                z     17.89   0.19 This paper                  
PTF09bgf  PANSTARRS           g     18.3    0.12 This paper                  
