Host galaxy	z	χ 2	E (B − V)best	Log(M⋆)	Log(M⋆ inf)	Log(M⋆ sup)	Age	Log(SFR)	Log(SFRinf)	Log(SFRsup)
GRB 050416	0.653	8.3	0.100	0.910E+01	0.901E+01	0.923E+01	0.32E+09	-0.777E-01	-0.418E+00	+0.334E+00
GRB 050525	0.606	2.8	0.900	0.810E+01	0.753E+01	0.876E+01	0.10E+08	-0.284E+00	-0.107E+01	+0.436E+00
GRB 060614	0.125	2.6	0.000	0.809E+01	0.792E+01	0.824E+01	0.50E+10	-0.153E+01	-0.172E+01	-0.130E+01
GRB 060912	0.937	6.8	0.000	0.929E+01	0.917E+01	0.953E+01	0.14E+10	0.144E+01	+0.997E+00	+0.166E+01
GRB 061021	0.346	0.4	0.000	0.848E+01	0.796E+01	0.910E+01	0.90E+10	-0.391E+00	-0.110E+01	+0.422E+00
GRB 071112	0.823	1.8	0.000	0.889E+01	0.871E+01	0.904E+01	0.55E+10	-0.125E+00	-0.465E+00	+0.336E+00
GRB 080319	0.937	undef	0.000	0.812E+01	0.776E+01	0.851E+01	0.57E+09	-0.516E+00	-0.881E+00	+0.263E-01
GRB 080430	0.767	9.7	0.000	0.815E+01	0.796E+01	0.827E+01	0.18E+09	-0.580E-01	-0.281E+00	+0.373E+00
GRB 080916	0.689	1.9	0.000	0.898E+01	0.890E+01	0.905E+01	0.10E+10	0.181E+00	-0.123E-01	+0.372E+00
GRB 081007	0.529	2.0	0.000	0.878E+01	0.833E+01	0.925E+01	0.26E+10	0.149E+00	-0.530E+00	+0.753E+00
GRB 090424	0.544	0.3	0.250	0.938E+01	0.919E+01	0.955E+01	0.18E+09	0.913E+00	+0.555E+00	+0.126E+01
GRB 091018	0.971	1.6	0.000	0.952E+01	0.942E+01	0.960E+01	0.72E+09	0.638E+00	+0.413E+00	+0.882E+00
GRB 091127	0.490	1.3	0.000	0.867E+01	0.860E+01	0.874E+01	0.40E+09	-0.421E+00	-0.847E+00	-0.962E-01
GRB 100621	0.542	8.8	0.200	0.904E+01	0.899E+01	0.910E+01	0.40E+08	0.141E+01	+0.133E+01	+0.150E+01
